locus_tag,n_barcodes,n_barcodes_central,scaffold,begin,end,gene_strand,desc,insertion_index,insertion_probability,tn_interval,essentiality,uniprot,protein,protein_name,gene_name,length
H16_A0150,26,19,NC_008313.1,162746,163807,+,gene,1.0174792220032558,0.8805062920709246,880.4230769230769,non-essential,NA,NA,NA,NA,NA
H16_A0151,65,53,NC_008313.1,163825,166572,+,gene,1.0999871737344649,0.990558043472552,878.0769230769231,non-essential,NA,NA,NA,NA,NA
H16_A0159,0,0,NC_008313.1,171841,173628,NA,gene,0,1.2433219557904799e-12,945,essential,Q0KFB0,SYR_CUPNH,Arginine--tRNA ligase (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS),argS H16_A0159,595
H16_A0167,7,6,NC_008313.1,179441,180622,+,gene,0.2702361864269371,0.0011373509379733239,939.8571428571429,non-essential,Q0KFA2,Q0KFA2_CUPNH,Isovaleryl-CoA dehydrogenase (EC 1.3.99.10),ivd1 H16_A0167,393
H16_A0168,40,28,NC_008313.1,180734,182575,+,gene,0.8176949180260845,0.5983978502509185,929.275,non-essential,Q8KLU8,ACEK_CUPNH,Isocitrate dehydrogenase kinase/phosphatase (IDH kinase/phosphatase) (IDHK/P) (EC 2.7.11.5) (EC 3.1.3.-),aceK H16_A0168,613
H16_A0169,0,0,NC_008313.1,182572,183243,NA,gene,0,4.610942508356163e-5,925,essential,Q0KFA0,Q0KFA0_CUPNH,Carbonic anhydrase,can H16_A0169,223
H16_A0170,21,10,NC_008313.1,183291,184469,+,gene,0.4573795445231544,0.03759574382356234,927.6190476190476,non-essential,Q0KF99,Q0KF99_CUPNH,Acetyl-CoA acetyltransferase (EC 2.3.1.9),H16_A0170,392
H16_A0172,26,21,NC_008313.1,185311,186441,+,gene,1.0002190956114196,0.8765572029868566,926.9230769230769,non-essential,Q0KF97,Q0KF97_CUPNH,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)",H16_A0172,376
H16_A0174,16,12,NC_008313.1,187182,187868,+,gene,0.9465752905986142,0.7789291806489906,923.9375,non-essential,Q0KF95,Q0KF95_CUPNH,Phosphoglycolate phosphatase (EC 3.1.3.18),H16_A0174,228
H16_A0177,13,7,NC_008313.1,189030,190637,+,gene,0.23855108162468286,5.937778637917076e-5,913,ambiguous,Q0KF92,Q0KF92_CUPNH,Carboxyltransferase,H16_A0177,535
H16_A0179,19,18,NC_008313.1,191615,192403,+,gene,1.2606313241671427,0.9760844142666631,906,non-essential,Q0KF90,Q0KF90_CUPNH,Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17),H16_A0179,262
H16_A0180,32,24,NC_008313.1,192732,194234,+,gene,0.8750654476032688,0.7125405776862885,915.71875,non-essential,Q0KF89,Q0KF89_CUPNH,Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62),bioA H16_A0180,500
H16_A0181,32,24,NC_008313.1,194224,195438,+,gene,1.0744216030370317,0.9371917873952053,921.28125,non-essential,Q0KF88,BIOF_CUPNH,8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase),bioF H16_A0181,404
H16_A0182,26,16,NC_008313.1,195435,196172,+,gene,1.1697000888972067,0.9476256654532194,927.2692307692307,non-essential,Q0KF87,Q0KF87_CUPNH,ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase),bioD H16_A0182,245
H16_A0183,37,33,NC_008313.1,196192,197223,+,gene,1.7189988967152534,0.9999767096496235,931.6486486486486,non-essential,Q0KF86,BIOB_CUPNH,Biotin synthase (EC 2.8.1.6),bioB H16_A0183,343
H16_A0185,14,13,NC_008313.1,199420,200361,+,gene,0.7439469216808281,0.47632944717558656,922.3571428571429,non-essential,Q0KF84,Q0KF84_CUPNH,D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95),H16_A0185,313
H16_A0186,15,12,NC_008313.1,200399,201334,+,gene,0.7308783940165423,0.4474246741289644,878.0666666666667,non-essential,Q0KF83,Q0KF83_CUPNH,Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4),H16_A0186,311
H16_A0190,22,20,NC_008313.1,202542,203498,+,gene,1.1846263925283245,0.9662419527053638,881.8636363636364,non-essential,Q0KF79,Q0KF79_CUPNH,Hydroxyacylglutathione hydrolase (EC 3.1.2.6),gloB1 H16_A0190,318
H16_A0197,23,21,NC_008313.1,210606,211505,+,gene,1.3035317018909902,0.9876916003263072,896.1304347826087,non-essential,Q0KF72,Q0KF72_CUPNH,Predicted hydrolase or acyltransferase (EC 3.-.-.-),H16_A0197,299
H16_A0208,0,0,NC_008313.1,220489,221406,NA,gene,0,1.7202049996601833e-6,898,essential,Q0KF61,ARGB_CUPNH,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),argB H16_A0208,305
H16_A0211,23,20,NC_008313.1,223540,224721,+,gene,0.9366593482349592,0.8030596923286573,902.7826086956521,non-essential,Q0KF58,METXS_CUPNH,Homoserine O-succinyltransferase (HST) (EC 2.3.1.46) (Homoserine transsuccinylase) (HTS),metXS H16_A0211,393
H16_A0220,19,16,NC_008313.1,231767,232714,-,gene,0.9588796450227554,0.8098172319936607,881.9473684210526,non-essential,Q0KF49,Q0KF49_CUPNH,N-acetyl-gamma-glutamyl-phosphate reductase (AGPR) (EC 1.2.1.38) (N-acetyl-glutamate semialdehyde dehydrogenase) (NAGSA dehydrogenase),argC1 argC H16_A0220,315
H16_A0224,15,11,NC_008313.1,234442,235128,+,gene,0.8988220528441997,0.7198453079700542,892.6,non-essential,Q0KF45,PYRE_CUPNH,Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10),pyrE H16_A0224,227
H16_A0227,18,16,NC_008313.1,237496,238362,-,gene,1.0497585555322275,0.8886113847231901,880.6111111111111,non-essential,Q0KF42,DAPF_CUPNH,Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase),dapF H16_A0227,288
H16_A0228,34,30,NC_008313.1,238405,239298,-,gene,1.9044571916112472,0.9999931509963546,880.3235294117648,non-essential,Q0KF41,Q0KF41_CUPNH,Lauroyl/myristoyl acyltransferase (EC 2.3.1.-),H16_A0228,297
H16_A0229,35,32,NC_008313.1,239295,240191,-,gene,2.024619371558147,0.9999989575910007,881.0285714285715,non-essential,Q0KF40,Q0KF40_CUPNH,Lauroyl/myristoyl acyltransferase (EC 2.3.1.-),H16_A0229,298
H16_A0230,0,0,NC_008313.1,240523,241686,NA,gene,0,4.5526271513200835e-8,900,essential,Q0KF39,METK_CUPNH,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase),metK H16_A0230,387
H16_A0232,47,31,NC_008313.1,242831,244234,-,gene,1.2441165327836745,0.9931088174832707,885.6595744680851,non-essential,Q0KF37,Q0KF37_CUPNH,Aldehyde dehydrogenase,H16_A0232,467
H16_A0233,21,17,NC_008313.1,244550,246229,+,gene,0.5792376687114892,0.10132764011159241,874.4761904761905,non-essential,Q0KF36,Q0KF36_CUPNH,Choline dehydrogenase (EC 1.1.99.1),betA2 H16_A0233,559
H16_A0234,36,32,NC_008313.1,246234,247895,-,gene,1.1015156665057404,0.9694343517130843,874.0555555555555,non-essential,Q0KF35,Q0KF35_CUPNH,"Acyl-CoA dehydrogenase, short-chain specific (Probable AidB protein) (EC 1.3.99.3)",aidB H16_A0234,587
H16_A0235,64,54,NC_008313.1,248296,250176,+,gene,1.656482367665464,0.9999998481032402,846.09375,non-essential,Q0KF34,THIC_CUPNH,Phosphomethylpyrimidine synthase (EC 4.1.99.17) (Hydroxymethylpyrimidine phosphate synthase) (HMP-P synthase) (HMP-phosphate synthase) (HMPP synthase) (Thiamine biosynthesis protein ThiC),thiC H16_A0235,626
H16_A0236,20,13,NC_008313.1,250313,251506,+,gene,0.745341899796235,0.47047377590796824,730.45,non-essential,Q0KF33,Q0KF33_CUPNH,Thiamine biosynthesis oxidoreductase,thiO H16_A0236,397
H16_A0237,0,0,NC_008313.1,251519,251716,NA,gene,0,0.10043143781594437,728,ambiguous,Q0KF32,Q0KF32_CUPNH,Thiamine biosynthesis sulfur transfer protein,thiS H16_A0237,65
H16_A0238,2,0,NC_008313.1,251720,252556,+,gene,0,5.6769688119606975e-5,726.5,essential,Q0KF31,THIG_CUPNH,Thiazole synthase (EC 2.8.1.10),thiG H16_A0238,278
H16_A0239,1,0,NC_008313.1,252553,253689,+,gene,0,1.676454768915481e-6,725,essential,Q0KF30,Q0KF30_CUPNH,Thiamine monophosphate synthase (EC 2.5.1.3),thiE H16_A0239,378
H16_A0240,21,19,NC_008313.1,253704,254213,+,gene,2.581472635031399,0.999996473658153,723.6666666666666,non-essential,Q0KF29,Q0KF29_CUPNH,Acetyltransferase (GNAT) family (EC 2.3.1.-),H16_A0240,169
H16_A0243,1,0,NC_008313.1,255244,256071,-,gene,0,7.307451561098484e-5,715,essential,NA,NA,NA,NA,NA
H16_A0244,2,2,NC_008313.1,256368,257786,+,gene,0.09883937828875736,1.1840400420668216e-5,713.5,essential,Q0KF25,SAHH_CUPNH,Adenosylhomocysteinase (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase) (AdoHcyase),ahcY H16_A0244,472
H16_A0246,21,13,NC_008313.1,258270,259100,+,gene,1.0831708577046777,0.8932145687389434,722.6666666666666,non-essential,Q0KF23,Q0KF23_CUPNH,Methylenetetrahydrofolate reductase (EC 1.5.1.20),H16_A0246,276
H16_A0249,9,5,NC_008313.1,260321,260905,-,gene,0.5995548904493304,0.34349950957709824,714,non-essential,Q0KF20,Q0KF20_CUPNH,5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2),H16_A0249,194
H16_A0251,23,19,NC_008313.1,263070,264092,+,gene,1.300069793220478,0.9838471471941126,715.8695652173913,non-essential,Q0KF18,Q0KF18_CUPNH,Predicted nucleoside-diphosphate-sugar epimerase (EC 5.1.3.-),H16_A0251,340
H16_A0259,2,0,NC_008313.1,269644,270045,+,gene,0,0.010225100518742666,712,essential,Q0KF10,Q0KF10_CUPNH,Dihydroneopterin aldolase (EC 4.1.2.25),folB H16_A0259,133
H16_A0260,27,22,NC_008313.1,270155,271099,+,gene,1.6251802472637875,0.9992302491058505,717.4444444444445,non-essential,Q0KF09,TTCA_CUPNH,tRNA-cytidine(32) 2-sulfurtransferase (EC 2.8.1.-) (Two-thiocytidine biosynthesis protein A) (tRNA 2-thiocytidine biosynthesis protein TtcA),ttcA H16_A0260,314
H16_A0262,0,0,NC_008313.1,272282,273646,NA,gene,0,1.055791555770748e-7,728,essential,Q0KF07,GLMU_CUPNH,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)],glmU H16_A0262,454
H16_A0263,0,0,NC_008313.1,273764,275602,NA,gene,0,3.6536165369008e-10,728,essential,Q0KF06,Q0KF06_CUPNH,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase),glmS H16_A0263,612
H16_A0269,16,14,NC_008313.1,279533,279976,+,gene,2.260565722719009,0.9998079598943521,699.125,non-essential,Q0KF01,Q0KF01_CUPNH,N-Acetylglutamate synthase or related acetyltransferase (EC 2.3.1.-),H16_A0269,147
H16_A0272,46,35,NC_008313.1,283157,284488,+,gene,1.8518322557433253,0.9999973996064819,710.4347826086956,non-essential,Q0KEZ8,Q0KEZ8_CUPNH,Omega-amino acid-pyruvate aminotransferase (EC 2.6.1.18),aptA H16_A0272,443
H16_A0273,9,6,NC_008313.1,284597,286114,+,gene,0.2793202462487291,0.0016584416190956234,708,non-essential,Q0KEZ7,Q0KEZ7_CUPNH,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27),mmsA1 H16_A0273,505
H16_A0274,11,8,NC_008313.1,286128,286478,+,gene,1.6187778227438283,0.9801495958210502,706.5454545454545,non-essential,Q0KEZ6,Q0KEZ6_CUPNH,Lactoylglutathione lyase (EC 4.4.1.5),H16_A0274,116
H16_A0280,65,51,NC_008313.1,292951,296214,+,gene,1.1212186899680827,0.9927213052474415,698.2923076923076,non-essential,Q0KEZ0,Q0KEZ0_CUPNH,Fused isobutyryl-CoA mutase [Includes: P-loop GTPase (EC 3.6.5.-) (G-protein chaperone); Isobutyryl-CoA mutase (ICM) (EC 5.4.99.13)],sbm1 icmF H16_A0280,1096
H16_A0282,22,10,NC_008313.1,296846,297700,+,gene,0.8228817748602497,0.6154517422617062,712.6818181818181,non-essential,Q0KEY8,Q0KEY8_CUPNH,3-Hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35),paaH1 H16_A0282,284
H16_A0291,20,19,NC_008313.1,306980,308230,+,gene,0.9096352749047361,0.7589477027897774,836.75,non-essential,Q0KEX9,Q0KEX9_CUPNH,Coenzyme F390 synthetase (EC 6.2.1.-),H16_A0291,416
H16_A0314,37,32,NC_008313.1,334626,335729,+,gene,1.7372326968908964,0.9999759476637109,836.0540540540541,non-essential,Q0KEV6,Q0KEV6_CUPNH,N-Acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25),nagA H16_A0314,367
H16_A0315,34,24,NC_008313.1,335722,336753,+,gene,1.3823260400275543,0.9957633830258372,842.2058823529412,non-essential,Q0KEV5,Q0KEV5_CUPNH,Glucosamine-6-phosphate deaminase (EC 3.5.99.6),nagB H16_A0315,343
H16_A0316,38,27,NC_008313.1,336812,338299,+,gene,1.065572994118037,0.9432031941964862,850.6842105263158,non-essential,Q0KEV4,Q0KEV4_CUPNH,Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),zwf1 zwf H16_A0316,495
H16_A0322,35,30,NC_008313.1,343971,345266,+,gene,1.339076483585154,0.9971205109433761,866.0571428571428,non-essential,Q0KEU8,Q0KEU8_CUPNH,Gamma-glutamate-cysteine ligase (EC 6.3.2.2),gshA H16_A0322,431
H16_A0323,23,19,NC_008313.1,345275,346228,+,gene,1.1631879185180742,0.9567381277194558,856.7391304347826,non-essential,Q0KEU7,Q0KEU7_CUPNH,Glutathione synthetase (EC 6.3.2.3) (GSH synthetase) (GSH-S) (GSHase) (Glutathione synthase),gshB H16_A0323,317
H16_A0324,3,1,NC_008313.1,346297,346752,+,gene,0.1302015520024999,0.015082959019069093,844.3333333333334,essential,Q0KEU6,Q0KEU6_CUPNH,"Phosphotransferase system, fructose-specific component IIA (EC 2.7.1.69)",fruA H16_A0324,151
H16_A0330,1,0,NC_008313.1,351230,351994,-,gene,0,3.8243233530898334e-5,827,essential,Q0KEU0,Q0KEU0_CUPNH,Dinucleotide-utilizing enzyme involved in molybdopterin thiamine biosynthesis family 2,thiF H16_A0330,254
H16_A0332,2,0,NC_008313.1,354045,354791,-,gene,0,4.694757597518168e-5,830,essential,Q0KET8,GPMA_CUPNH,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)",gpmA H16_A0332,248
H16_A0336,31,26,NC_008313.1,356547,357563,+,gene,1.5642146198717826,0.9994490545200034,817.0967741935484,non-essential,Q0KET4,GPDA_CUPNH,Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase),gpsA H16_A0336,338
H16_A0351,38,32,NC_008313.1,368649,369761,+,gene,1.76871476879441,0.999983710859957,812.5526315789474,non-essential,Q0KER9,Q0KER9_CUPNH,Putative hemeA synthase,ctaA H16_A0351,370
H16_A0352,23,19,NC_008313.1,369806,370702,+,gene,1.3171029281277729,0.9856727531495594,805.5652173913044,non-essential,Q0KER8,COXX_CUPNH,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase),ctaB H16_A0352,307
H16_A0356,35,23,NC_008313.1,373720,374712,-,gene,1.4206791587602783,0.9965298013502839,815,non-essential,Q0KER4,Q0KER4_CUPNH,Anthranilate phosphoribosyltransferase (EC 2.4.2.18),trpD2 H16_A0356,350
H16_A0361,34,26,NC_008313.1,379178,379879,+,gene,2.192072790306317,0.9999979310890232,845.3823529411765,non-essential,Q0KEQ9,Q0KEQ9_CUPNH,Putative fumarylacetoacetat hydroxylase (EC 3.7.1.2),H16_A0361,233
H16_A0362,28,25,NC_008313.1,379884,380531,+,gene,2.3041079363064174,0.9999986534139993,839.6785714285714,non-essential,Q0KEQ8,Q0KEQ8_CUPNH,Maleylacetoacetate isomerase (EC 5.2.1.2),H16_A0362,215
H16_A0367,0,0,NC_008313.1,385883,386368,NA,gene,0,0.001681586325772022,820,essential,Q0KEQ3,COAD_CUPNH,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT),coaD H16_A0367,161
H16_A0369,52,46,NC_008313.1,386799,388649,-,gene,1.514303584949139,0.9999799451866981,819.8653846153846,non-essential,Q0KEQ1,Q0KEQ1_CUPNH,"dTDP-D-glucose 4,6-dehydratase (EC 4.2.1.46)",rfbB1 H16_A0369,616
H16_A0372,0,0,NC_008313.1,390344,391297,NA,gene,0,3.642506111315999e-6,815,essential,Q0KEP8,Q0KEP8_CUPNH,Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase),prsA prs H16_A0372,317
H16_A0374,0,0,NC_008313.1,391528,392406,NA,gene,0,1.0253853517274491e-5,812,essential,Q0KEP7,ISPE_CUPNH,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),ispE H16_A0374,292
H16_A0391,4,2,NC_008313.1,408155,409138,-,gene,0.12168588492409235,1.8159505857221126e-4,836,essential,Q0KEN0,Q0KEN0_CUPNH,Predicted sugar phosphate isomerase involved in capsule formation (EC 5.3.1.-),gutQ H16_A0391,333
H16_A0395,16,14,NC_008313.1,412548,413120,+,gene,1.4842652199227662,0.9895040459569753,824.875,non-essential,Q0KEM6,APT_CUPNH,Adenine phosphoribosyltransferase (APRT) (EC 2.4.2.7),apt H16_A0395,190
H16_A0427,45,39,NC_008313.1,446122,447660,-,gene,1.5257284766657435,0.9999317638621885,831.7333333333333,non-essential,Q0KEJ4,Q0KEJ4_CUPNH,L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase),ilvA H16_A0427,512
H16_A0428,15,10,NC_008313.1,447972,448775,+,gene,0.7430370002704654,0.48742160937683854,837.8,non-essential,Q0KEJ3,Q0KEJ3_CUPNH,Trehalose 6-phosphate phosphatase (EC 3.1.3.12),otsB H16_A0428,267
H16_A0430,44,31,NC_008313.1,450703,452094,+,gene,1.5191639703780524,0.999685356139762,732.3409090909091,non-essential,Q0KEJ1,Q0KEJ1_CUPNH,Trehalose-6-phosphate synthase (EC 2.4.1.15) (Osmoregulatory trehalose synthesis protein A) (UDP-glucose-glucosephosphate glucosyltransferase),H16_A0430,463
H16_A0445,0,0,NC_008313.1,468672,469403,NA,gene,0,1.3879300993188052e-4,755,essential,Q0KEH6,UBIE_CUPNH,"Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)",ubiE H16_A0445,243
H16_A0448,2,0,NC_008313.1,471344,472921,+,gene,0,4.622202344879295e-9,751,essential,Q0KEH3,Q0KEH3_CUPNH,Probable protein kinase UbiB (EC 2.7.-.-) (Ubiquinone biosynthesis protein UbiB),aarF ubiB H16_A0448,525
H16_A0453,3,0,NC_008313.1,476608,478416,+,gene,0,3.0872238996383814e-10,746,essential,Q0KEG8,SYDND_CUPNH,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),aspS H16_A0453,602
H16_A0458,20,15,NC_008313.1,481517,482860,+,gene,0.7187274499262586,0.399765125930357,775.95,non-essential,Q0KEG3,Q0KEG3_CUPNH,Cardiolipin synthase B (CL synthase) (EC 2.7.8.-),clsB H16_A0458,451
H16_A0460,41,32,NC_008313.1,483889,485676,+,gene,1.1464216954573758,0.9814894129317264,780.0731707317074,non-essential,Q0KEG1,Q0KEG1_CUPNH,Acyl-CoA dehydrogenase (EC 1.3.99.3),acaD H16_A0460,595
H16_A0461,62,53,NC_008313.1,485753,488176,+,gene,1.418528552303289,0.9999709910502256,769.3225806451613,non-essential,Q0KEG0,Q0KEG0_CUPNH,Two domain protein: 3-hydroxyacyl-CoA dehydrogenase (EC 4.2.1.17),H16_A0461,807
H16_A0462,33,33,NC_008313.1,488198,489397,+,gene,1.8275521766146423,0.9999933053127922,754.6666666666666,non-essential,Q0KEF9,Q0KEF9_CUPNH,Acetyl-CoA C-acyltransferase (EC 2.3.1.16),H16_A0462,398
H16_A0464,13,12,NC_008313.1,490503,491279,+,gene,0.9951040878875931,0.8261406953780916,776.2307692307693,non-essential,Q0KEF7,Q0KEF7_CUPNH,Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17),H16_A0464,258
H16_A0471,24,18,NC_008313.1,497908,499215,+,gene,0.854342241907955,0.6691777555122689,805.875,non-essential,Q0KEF0,Q0KEF0_CUPNH,Glutamate dehydrogenase,gdhA1 H16_A0471,435
H16_A0475,21,20,NC_008313.1,501863,502597,+,gene,1.9889019272459674,0.9999101347098358,685.4761904761905,non-essential,Q0KEE6,Q0KEE6_CUPNH,"ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)",H16_A0475,244
H16_A0477,23,23,NC_008313.1,503628,504701,+,gene,1.5714976782829952,0.9990412581841839,681.695652173913,non-essential,Q0KEE4,Q0KEE4_CUPNH,3-Isopropylmalate dehydrogenase (EC 1.1.1.85),leuB1 H16_A0477,357
